ImageId,EncodedPixels
test_mask_1,15333 3 15583 4 15815 13 15829 4 15834 33 15868 1 16059 61 16309 60 16559 1 16562 57 16809 1 16813 55 17059 2 17063 54 17309 56 17559 55 17616 5 17800 71 18049 66 18116 5 18299 66 18366 5 18549 66 18616 4 18799 71 19041 1 19048 66 19119 1 19291 1 19293 1 19298 65 19541 3 19548 66 19617 3 19791 72 20040 58 20100 2 20103 2 20290 58 20540 51 20592 6 20790 59 21040 60 21290 58 21540 58 21601 2 21790 59 22037 1 22040 54 22095 3 22286 39 22538 36 22789 35 23039 35 23288 35 23538 35 23787 37 23830 1 24034 39 24284 39 24534 39 24783 40 25033 40 25283 40 25533 40 25782 41 26032 40 26282 37 26321 1 26532 35 26782 34 27032 33 27282 33 27532 33 27782 33 28031 34 28282 33 28526 2 28532 33 28777 1 28782 33 29026 2 29032 33 29277 2 29281 34 29527 2 29532 33 29777 2 29780 35 30026 39 30277 3 30281 34 30527 1 30529 1 30531 34 30777 1 30782 33 31026 2 31030 35 31277 2 31280 35 31526 2 31529 1 31531 34 31777 38 32025 40 32277 38 32527 1 32529 1 32531 34 32777 1 32781 34 33026 3 33030 35 33277 2 33281 34 33527 3 33531 34 33777 38 34026 39 34277 38 34527 1 34529 1 34532 33 34777 1 34782 33 35027 2 35030 35 35277 2 35280 35 35527 38 35777 38 36026 1 36028 37 36277 1 36279 1 36281 34 36319 1 36527 1 36532 33 36777 1 36782 33 37027 1 37032 33 37282 34 37532 40 37782 41 38032 42 38283 41 38533 40 38783 40 39034 39 39286 37 39533 41 39576 1 39784 47 40038 1 40040 51 40290 50 40540 50 40593 1 40790 50 41040 51 41092 1 41094 3 41290 50 41540 53 41790 58 42040 67 42291 1 42296 1 42298 64 42541 1 42548 65 42798 65 43041 1 43048 65 43291 1 43294 1 43296 67 43544 1 43548 64 43798 65 44044 1 44048 72 44307 59 44367 2 44557 59 44804 1 44807 59 45057 59 45307 60 45368 2 45557 60 45618 1 45807 60 46059 54 46116 1 46322 40 46572 40 46823 1 46825 37 47075 35 47326 33 47577 32 47845 2 47854 1
test_mask_2,15334 1 15584 1 15813 27 15841 8 15851 16 15868 1 16058 2 16061 58 16308 60 16559 61 16809 60 17059 57 17309 56 17559 55 17617 3 17799 72 18049 65 18117 3 18299 65 18368 2 18549 66 18616 4 18799 66 18867 3 19041 1 19048 65 19291 1 19298 65 19541 1 19548 66 19617 3 19791 4 19796 67 20040 58 20101 1 20103 2 20290 51 20343 5 20540 51 20595 2 20791 57 21040 58 21290 58 21352 1 21540 50 21591 7 21601 3 21790 58 21849 1 21852 1 22040 51 22093 1 22095 3 22287 37 22538 36 22788 36 23038 36 23288 35 23538 35 23786 38 24033 40 24282 41 24532 41 24782 40 25032 40 25282 40 25532 40 25782 40 26032 37 26070 2 26280 37 26321 1 26531 35 26781 34 27027 1 27030 35 27277 2 27280 35 27527 38 27777 38 28026 39 28277 38 28527 38 28777 1 28780 35 29026 2 29030 35 29277 2 29280 35 29527 38 29776 39 30026 39 30277 38 30525 40 30776 2 30779 36 31026 39 31277 38 31526 39 31777 38 32025 40 32278 37 32526 2 32529 36 32777 1 32780 35 33027 1 33030 35 33277 2 33280 35 33527 38 33777 38 34026 39 34278 37 34527 1 34530 35 34777 1 34780 35 35027 38 35277 38 35527 38 35777 38 36027 39 36068 2 36277 39 36527 1 36531 35 36777 1 36782 33 37032 33 37282 34 37532 40 37782 41 38032 42 38282 42 38533 40 38783 40 39034 1 39036 37 39284 1 39286 37 39534 40 39784 1 39786 45 40038 1 40040 50 40290 50 40540 50 40593 1 40790 50 41040 50 41092 1 41095 2 41290 50 41540 50 41592 1 41790 58 42040 67 42291 2 42296 66 42541 1 42548 65 42798 65 43041 1 43048 65 43291 1 43294 1 43296 67 43544 1 43548 64 43794 1 43798 64 44044 1 44048 66 44303 1 44307 58 44557 57 44804 1 44807 58 45057 58 45307 59 45557 59 45807 58 46059 54 46322 40 46573 39 46823 1 46825 36 47075 35 47323 1 47325 36 47572 2 47577 33 47830 1 47833 3 47838 3 47845 7 47853 3
test_mask_3,15815 11 15827 1 15829 3 15833 3 15837 3 15841 2 15845 23 15906 2 16059 1 16061 2 16064 56 16155 4 16309 61 16404 5 16560 60 16654 5 16810 60 16903 6 17059 60 17154 5 17309 61 17404 5 17559 61 17656 3 17800 71 17906 3 18049 71 18299 72 18549 72 18799 71 19041 4 19047 66 19291 3 19298 65 19540 4 19547 67 19617 2 19790 73 20040 65 20290 59 20350 2 20540 58 20790 59 21040 60 21290 59 21540 58 21599 1 21790 60 22040 54 22095 3 22288 39 22538 1 22540 35 22576 1 22790 35 23040 34 23290 34 23540 34 23790 34 23829 1 24037 36 24286 37 24534 39 24784 39 25034 39 25284 39 25533 40 25783 40 26032 41 26282 40 26532 35 26570 2 26782 34 27032 33 27282 33 27532 33 27782 33 28027 1 28031 34 28281 34 28532 33 28777 1 28782 33 29027 1 29032 33 29277 1 29282 33 29527 1 29532 33 29777 1 29780 35 30026 3 30030 35 30281 34 30526 1 30531 34 30782 33 31027 1 31030 35 31280 35 31527 1 31531 34 31777 2 31780 35 32026 39 32278 1 32280 35 32526 1 32531 34 32777 1 32781 34 33030 35 33281 34 33527 1 33531 34 33777 2 33780 35 34027 38 34281 34 34531 34 34780 35 35028 1 35030 35 35279 36 35530 35 35777 2 35780 35 36027 38 36279 36 36532 33 36781 34 37032 33 37282 33 37532 34 37568 3 37782 41 38032 41 38282 41 38532 41 38782 41 39032 41 39282 41 39532 42 39576 1 39782 49 40033 50 40084 6 40283 57 40534 3 40538 52 40784 56 41033 4 41038 52 41284 1 41286 1 41288 51 41534 56 41787 60 42040 67 42290 72 42541 71 42790 72 43040 72 43290 69 43360 2 43542 70 43792 3 43797 68 44049 70 44303 63 44556 60 44804 63 45056 63 45306 64 45557 64 45807 63 46059 59 46322 41 46573 40 46823 40 47074 38 47324 39 47572 38 47611 2 47830 1 47837 2 47845 2 47853 2
test_mask_4,14584 1 15334 1 15814 10 15826 42 16058 61 16308 60 16558 61 16808 61 17058 58 17308 57 17558 56 17618 2 17799 71 18048 67 18298 66 18548 65 18616 4 18799 65 18868 2 19041 1 19048 65 19298 65 19541 1 19548 66 19617 2 19790 2 19793 2 19796 67 20040 58 20100 2 20103 2 20290 58 20540 51 20592 6 20790 58 21040 58 21290 58 21540 50 21591 1 21593 5 21602 1 21783 1 21790 56 22032 62 22095 3 22282 43 22532 42 22782 42 23032 42 23282 41 23532 5 23538 35 23782 42 23828 1 24032 41 24282 41 24532 41 24777 1 24782 40 25027 1 25032 40 25277 1 25282 40 25527 1 25532 40 25777 1 25782 40 26027 2 26031 38 26070 2 26278 1 26281 36 26321 1 26528 1 26532 34 26777 1 26782 34 27027 1 27032 33 27282 33 27532 33 27778 1 27780 35 28027 38 28278 37 28531 34 28777 1 28782 33 29027 1 29030 35 29277 2 29281 34 29527 1 29532 33 29777 1 29780 35 30026 3 30030 35 30278 1 30281 34 30526 1 30531 34 30777 1 30781 34 31027 1 31030 35 31277 2 31282 33 31527 1 31532 33 31777 2 31780 35 32026 39 32277 2 32280 35 32526 2 32531 34 32777 1 32780 35 33027 1 33030 35 33277 2 33280 35 33527 1 33531 34 33777 1 33780 35 34027 38 34277 2 34281 34 34527 1 34532 33 34777 1 34782 33 35027 2 35032 33 35277 2 35282 33 35527 1 35532 33 35777 2 35782 33 35818 2 36027 2 36031 35 36068 3 36277 2 36282 34 36318 3 36527 1 36532 34 36568 3 36777 1 36782 33 36818 3 37032 33 37068 2 37282 34 37318 2 37532 40 37782 41 38034 39 38286 37 38536 1 38538 36 38788 36 39038 35 39288 35 39536 38 39576 1 39788 43 40040 50 40290 50 40541 49 40593 1 40790 50 41040 50 41092 5 41290 50 41540 50 41591 2 41596 1 41790 58 42040 5 42046 60 42291 1 42298 64 42541 1 42548 65 42799 64 43041 1 43048 65 43291 1 43296 67 43548 65 43799 64 44044 1 44048 68 44307 59 44558 1 44563 53 44808 1 44814 51 45058 1 45064 51 45308 58 45557 59 45807 58 46061 52 46323 38 46573 1 46575 30 46606 3 46825 36 47075 34 47326 33 47578 31 47846 1
test_mask_5,15080 1 15327 4 15334 1 15342 1 15349 3 15577 3 15586 1 15592 2 15596 1 15599 3 15814 10 15825 11 15837 7 15845 7 15853 14 15868 1 16059 61 16309 61 16559 62 16809 61 17059 61 17309 61 17559 62 17799 72 18049 72 18299 72 18549 72 18799 71 19041 1 19048 66 19116 1 19118 2 19291 1 19298 65 19368 3 19541 1 19548 73 19790 5 19796 67 20040 58 20100 5 20290 51 20342 6 20540 51 20593 5 20790 59 21040 60 21290 58 21540 50 21591 7 21599 1 21602 2 21790 60 22038 1 22040 52 22093 1 22096 1 22287 38 22537 37 22788 36 23038 36 23288 35 23538 36 23788 36 24034 39 24284 39 24533 39 24783 39 25033 39 25283 39 25533 39 25782 40 26032 37 26070 2 26282 35 26321 1 26532 34 26782 33 27032 33 27282 33 27532 33 27781 34 28030 35 28281 34 28532 33 28777 1 28782 33 29027 1 29030 35 29277 2 29281 34 29526 2 29531 34 29777 1 29780 35 30026 39 30278 1 30281 34 30527 1 30531 34 30777 1 30781 34 31026 2 31030 35 31277 2 31280 35 31526 2 31529 1 31531 34 31777 2 31780 35 32026 39 32277 38 32527 1 32529 1 32531 34 32777 1 32781 34 33026 2 33030 35 33277 2 33280 35 33527 1 33531 34 33777 2 33780 35 34027 38 34278 1 34281 34 34527 1 34532 33 34782 33 35032 33 35282 33 35527 1 35532 33 35777 2 35780 35 36027 2 36031 34 36068 2 36282 34 36319 2 36532 34 36569 1 36782 34 37032 34 37282 37 37532 41 37782 41 38032 42 38283 42 38535 2 38538 36 38787 37 39038 36 39288 37 39533 2 39536 41 39784 1 39788 44 40040 50 40290 50 40541 49 40790 50 41040 50 41290 50 41540 50 41592 1 41790 58 42040 66 42291 71 42541 1 42548 65 42798 65 43041 1 43048 65 43290 72 43548 64 43798 65 44049 70 44307 59 44367 1 44556 61 44804 1 44806 60 45054 1 45057 60 45307 60 45368 1 45557 62 45807 61 46059 58 46322 40 46573 39 46823 39 47075 37 47323 1 47325 38 47572 2 47577 32 47611 2 47845 2 47853 2
test_mask_6,14583 2 14831 1 15334 1 15814 18 15834 5 15840 4 15845 23 16058 61 16308 60 16559 59 16809 59 17059 56 17309 55 17559 55 17800 65 17867 4 18049 65 18118 1 18299 64 18549 64 18616 4 18799 65 18867 3 19041 1 19048 65 19291 1 19293 1 19295 1 19298 65 19541 2 19548 66 19790 73 20040 58 20290 51 20342 3 20347 1 20540 51 20593 1 20597 1 20791 57 21040 58 21290 58 21540 50 21591 7 21790 57 22037 2 22040 51 22095 1 22284 1 22286 39 22326 1 22535 39 22576 1 22786 38 23035 39 23286 37 23533 1 23536 38 23783 41 24032 41 24282 41 24532 41 24782 40 25032 40 25282 41 25532 41 25777 1 25782 41 26027 2 26031 41 26277 2 26281 41 26527 2 26531 36 26777 1 26781 35 27027 1 27030 35 27277 38 27527 38 27777 38 28026 39 28277 38 28527 38 28777 38 29026 39 29277 38 29526 39 29775 40 30025 40 30276 39 30525 40 30775 40 31025 40 31275 40 31524 41 31774 41 32025 40 32275 40 32525 40 32775 40 33026 39 33276 39 33525 40 33775 40 34026 39 34277 38 34527 38 34777 38 35027 38 35277 38 35527 38 35777 38 36027 39 36068 3 36277 39 36318 2 36527 38 36777 2 36780 35 37027 2 37032 33 37277 3 37282 34 37527 1 37532 39 37777 1 37782 40 38032 41 38282 41 38532 41 38783 40 39033 40 39282 41 39533 40 39783 48 40033 58 40284 56 40534 3 40540 50 40593 1 40784 2 40790 50 41033 3 41040 50 41094 3 41283 3 41289 51 41533 2 41536 54 41592 1 41783 5 41789 59 42040 5 42046 60 42291 3 42298 64 42541 1 42548 64 42798 65 43041 1 43048 65 43290 5 43296 67 43541 5 43547 65 43791 72 44041 78 44299 67 44549 3 44554 62 44799 2 44802 1 44804 1 44806 60 45049 67 45297 70 45545 72 45795 1 45797 70 46049 2 46054 63 46314 2 46318 2 46321 41 46572 40 46822 40 47075 37 47325 37 47577 33 47845 2 47853 2
test_mask_7,15334 1 15584 1 15815 11 15827 1 15829 39 16059 3 16063 56 16309 59 16558 2 16561 58 16809 1 16812 56 17059 58 17309 58 17368 1 17559 62 17799 72 18049 72 18299 72 18549 72 18799 71 19041 4 19047 67 19118 2 19291 3 19298 65 19369 1 19540 4 19547 67 19617 3 19790 73 20040 65 20286 62 20350 1 20537 61 20788 63 21039 65 21284 1 21287 1 21289 59 21352 1 21533 65 21599 1 21601 3 21783 67 21851 3 22033 61 22095 3 22283 44 22533 42 22576 1 22783 41 23033 41 23283 40 23532 42 23782 42 23828 1 24032 41 24282 41 24532 41 24782 41 25032 41 25282 41 25532 41 25777 1 25782 41 26027 1 26031 41 26281 41 26532 40 26782 40 27032 39 27277 1 27282 39 27527 1 27532 38 27777 1 27781 38 28026 41 28277 3 28281 35 28527 3 28531 34 28777 1 28782 33 29026 2 29030 35 29277 2 29280 35 29527 3 29531 34 29777 1 29780 35 30026 39 30278 37 30526 2 30529 1 30531 34 30777 1 30781 34 31027 1 31030 35 31278 1 31280 35 31527 1 31529 1 31531 34 31777 1 31780 35 32026 39 32278 37 32526 1 32529 1 32531 34 32777 1 32782 33 33027 1 33030 35 33281 34 33527 1 33531 34 33777 2 33780 35 34027 38 34281 34 34532 33 34777 1 34782 33 35027 2 35031 34 35277 2 35282 33 35527 1 35532 33 35777 2 35780 35 36027 3 36031 34 36277 1 36281 34 36319 1 36527 1 36532 33 36777 1 36782 33 37027 1 37032 34 37282 34 37532 39 37782 41 38032 41 38282 41 38533 40 38784 39 39036 37 39284 1 39286 37 39533 41 39576 1 39784 47 40040 50 40290 50 40540 50 40593 1 40790 50 41040 50 41094 3 41290 50 41540 50 41592 1 41790 58 42040 66 42291 2 42296 1 42298 64 42541 1 42548 65 42798 65 43041 1 43048 65 43291 1 43293 2 43296 67 43548 65 43798 65 44044 1 44048 71 44303 1 44306 60 44367 2 44556 60 44806 59 45057 60 45307 60 45368 2 45557 60 45618 2 45807 60 46059 12 46072 41 46115 2 46322 40 46572 40 46823 39 47075 36 47323 1 47325 37 47573 1 47577 25 47603 7 47837 2 47845 2 47854 1
test_mask_8,15334 1 15813 19 15833 3 15837 31 16058 61 16308 60 16559 1 16562 57 16809 1 16812 56 17059 2 17063 55 17309 3 17313 54 17368 1 17560 55 17616 5 17801 70 18049 66 18116 5 18299 66 18366 4 18549 66 18616 4 18799 66 18867 3 19041 1 19048 65 19298 65 19548 66 19617 3 19794 1 19796 67 20040 58 20101 1 20103 2 20290 58 20540 58 20790 59 21040 58 21290 58 21540 50 21591 7 21602 2 21790 58 22033 4 22038 53 22093 1 22096 1 22284 41 22326 1 22534 40 22784 1 22786 1 22788 36 23034 3 23038 36 23288 35 23534 1 23538 35 23783 41 24032 41 24282 41 24532 41 24782 40 25032 40 25282 41 25532 41 25782 41 26031 41 26281 41 26531 36 26568 4 26781 35 26818 3 27031 35 27280 36 27532 34 27781 35 28027 2 28030 36 28278 1 28280 36 28531 34 28777 1 28781 34 29027 1 29030 35 29280 35 29532 33 29780 35 30026 3 30030 35 30278 1 30280 35 30531 34 30781 34 31030 35 31280 35 31531 34 31777 1 31780 35 32027 2 32030 35 32278 1 32280 35 32531 34 32780 35 33030 35 33280 35 33532 33 33777 1 33780 35 34028 1 34030 35 34281 34 34531 34 34782 33 35030 35 35282 33 35532 33 35777 2 35780 35 36027 2 36030 35 36278 1 36281 34 36527 1 36531 34 36777 1 36781 34 37032 33 37282 34 37532 39 37781 42 38032 41 38282 41 38532 41 38782 41 39032 41 39282 41 39532 42 39782 49 40033 2 40038 52 40283 2 40290 50 40533 1 40540 50 40790 50 41033 1 41040 50 41290 49 41540 50 41789 58 42040 66 42290 68 42359 2 42541 1 42547 65 42791 1 42795 1 42798 64 43040 3 43045 67 43290 68 43543 2 43548 64 43792 1 43797 66 44049 70 44303 1 44306 60 44557 59 44804 62 45054 1 45056 61 45306 61 45368 2 45557 63 45807 63 46059 12 46072 45 46322 41 46573 39 46823 39 47072 40 47322 41 47572 41 47830 1 47833 3 47838 3 47845 2 47849 3 47853 3
test_mask_9,15334 1 15815 17 15833 5 15839 25 15865 2 16058 4 16063 55 16308 57 16562 52 16810 1 16813 51 17059 55 17309 3 17313 51 17560 53 17800 65 17867 3 18049 65 18299 65 18549 66 18616 1 18618 2 18799 66 18867 3 19041 1 19048 65 19298 65 19541 1 19548 66 19617 1 19619 1 19791 1 19793 2 19796 67 20040 65 20290 58 20350 1 20540 58 20791 62 21041 59 21101 2 21290 58 21352 1 21540 58 21601 2 21790 60 21851 1 22040 50 22091 1 22093 1 22095 3 22288 36 22538 36 22788 36 23036 1 23038 36 23288 35 23536 1 23538 35 23783 40 24032 41 24282 40 24532 40 24782 40 25032 40 25282 40 25532 40 25782 40 26027 2 26031 37 26070 2 26278 1 26280 38 26531 35 26781 34 27030 35 27280 35 27530 35 27778 1 27780 35 28027 38 28278 37 28530 35 28780 35 29030 35 29280 35 29530 35 29777 2 29780 35 30027 38 30278 37 30528 37 30780 35 31028 37 31278 1 31280 35 31530 35 31777 2 31780 35 32027 38 32278 37 32530 35 32780 35 33030 35 33280 35 33531 34 33777 1 33780 35 34028 1 34030 35 34281 34 34531 34 34780 35 35030 35 35281 34 35531 34 35780 35 36028 1 36030 35 36069 1 36281 34 36532 33 36782 33 37032 33 37282 34 37532 39 37782 41 38032 41 38283 41 38534 3 38538 35 38787 36 39038 35 39286 1 39288 35 39534 40 39576 1 39784 1 39786 45 40040 50 40290 50 40541 49 40593 1 40790 50 41040 51 41092 4 41290 50 41540 50 41592 1 41790 57 42040 66 42291 1 42296 66 42541 1 42548 65 42798 65 43048 65 43118 1 43294 1 43296 67 43549 64 43799 64 44049 70 44308 58 44368 1 44558 2 44562 54 44807 3 44811 55 45057 59 45308 58 45558 60 45809 59 46065 48 46116 1 46324 34 46359 3 46575 31 46611 1 46826 31 46859 3 47076 31 47326 32 47361 1 47577 32 47611 1 47845 2 47853 2
test_mask_10,15813 11 15825 7 15833 35 16058 61 16308 60 16559 2 16562 57 16809 2 16812 57 17059 57 17309 56 17559 62 17800 71 18049 72 18299 72 18549 71 18799 71 19041 1 19048 66 19115 5 19298 65 19541 1 19548 68 19617 3 19791 1 19793 2 19796 67 20040 58 20100 2 20290 51 20343 2 20346 2 20540 50 20595 1 20790 58 21040 58 21290 52 21344 2 21347 1 21540 50 21591 1 21594 4 21790 52 21843 3 22033 53 22087 3 22283 41 22533 41 22783 40 23032 42 23282 41 23532 41 23782 41 24032 41 24282 40 24532 40 24782 40 25027 1 25032 40 25281 41 25532 40 25777 1 25781 41 26027 2 26030 39 26070 2 26277 2 26280 37 26530 36 26780 35 27030 35 27278 1 27280 35 27531 34 27778 1 27781 34 28027 38 28278 37 28526 2 28529 36 28777 1 28780 35 29027 1 29030 35 29280 35 29530 35 29777 1 29780 35 30026 39 30278 37 30526 1 30529 36 30780 35 31027 1 31030 35 31278 1 31280 35 31527 1 31530 35 31777 2 31780 35 32026 39 32278 37 32529 36 32777 1 32780 35 33027 1 33030 35 33278 1 33280 35 33527 2 33530 35 33777 38 34027 38 34279 36 34530 35 34780 35 35028 1 35030 35 35280 35 35527 2 35530 35 35777 38 36027 38 36068 3 36279 37 36318 3 36527 1 36530 36 36568 2 36777 1 36780 35 37031 34 37282 34 37532 39 37782 41 38032 41 38282 41 38532 41 38782 41 39032 41 39282 41 39532 42 39576 1 39783 48 40038 1 40040 50 40290 50 40540 50 40593 1 40790 50 41040 50 41092 1 41094 3 41290 50 41540 50 41592 1 41790 58 42040 67 42291 71 42541 1 42548 64 42798 65 43041 1 43048 65 43290 73 43543 2 43548 64 43792 1 43798 64 44044 1 44048 66 44303 61 44554 60 44804 61 45054 1 45056 59 45306 60 45556 60 45806 59 46057 56 46322 40 46573 39 46823 37 47075 34 47325 35 47573 1 47577 33 47830 1 47835 1 47837 2 47845 3 47853 3
